ID Proyecto,ID Coleccion,camera_trap,Lat,Lon,Inicio,Fin,No.imagen,Fotode,Fecha,photo_time,T_ambiente,Fase_lunar,Nombre_comun,Clase,Orden,Familia,Genero,Especie,Binomial,N0.Animales,Edad,Sexo,Habitat,Lugar_paso,Notas_Dudas,ID_Carpeta,ID_Foto,Distancia_m,Tecnico
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00262,Animal,20-7-2013,4:38:58 AM,68,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,Transecto,,C1.1n37,PICT0262,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00263,Animal,20-7-2013,4:39:00 AM,68,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,Transecto,,C1.1n37,PICT0263,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00264,Animal,20-7-2013,4:39:01 AM,68,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,trillo,,C1.1n37,PICT0264,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00265,Animal,21-7-2013,4:11:13 AM,68,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0265,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00266,Animal,21-7-2013,4:11:14 AM,68,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0266,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00267,Animal,21-7-2013,4:11:15 AM,68,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0267,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00268,Animal,22-7-2013,5:59:47 AM,70,llena,,,,,,,,,,,Pantano,,,C1.1n37,PICT0268,,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00271,Animal,22-7-2013,9:07:37 AM,70,llena,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0271,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00272,Animal,22-7-2013,9:07:38 AM,70,llena,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0272,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00273,Animal,22-7-2013,9:07:39 AM,70,llena,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0273,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00274,Animal,25-7-2013,6:52:32 PM,66,decreciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,trillo,,C1.1n37,PICT0274,5,Erick Santana
